isolated_hero
CLUMSY FOULUP
"GIURESCU, RADU"
SHARKSKIN
"JOHNSON, LYNDON BAIN"
KULL
BLARE/
RED WOLF II
ZANTOR
LUNATIK II
DEATHCHARGE
SABRE/
"GERVASE, LADY ALYSSA"
MARVEL BOY II/MARTIN
FENRIS
SEA LEOPARD
RUNE
BERSERKER II
"CALLAHAN, DANNY"
RANDAK
