num_nodes,num_edges,running_time_seconds,final_train_loss,best_val_mrr,best_test_mrr,final_val_mrr,final_test_mrr,best_val_auc,best_test_auc,final_val_auc,final_test_auc,total_epochs,graph_density,avg_degree
954,6000,260.35716104507446,0.6852800766626994,0.8241666555404663,0.8324999809265137,0.8241666555404663,0.8308333158493042,0.6459944444444444,0.6525805555555556,0.6455263888888889,0.6525805555555556,5,0.0131989678407148,12.57861635220126
1909,14523,625.7861952781677,0.6374420294386968,0.8550275564193726,0.8601928353309631,0.8550275564193726,0.8601928353309631,0.715649640659032,0.7219708353254559,0.715649640659032,0.7219708353254559,5,0.0079744737769782,15.215295966474594
2863,20802,904.1720023155212,0.604843542812507,0.8600961565971375,0.862500011920929,0.8600961565971375,0.862500011920929,0.7187424879807691,0.7199163276627218,0.7187424879807691,0.7199163276627218,5,0.0050774319353919,14.531610199091862
3818,26962,1130.686588764191,0.5931495971131446,0.8761127591133118,0.8666542768478394,0.8761127591133118,0.8666542768478394,0.7392612090447217,0.7381290504010778,0.7392612090447217,0.7381290504010778,5,0.0037001899225886,14.123624934520691
5727,40975,1731.845885515213,0.5492844688254516,0.8821088671684265,0.8797900676727295,0.8821088671684265,0.8797900676727295,0.7631610585121875,0.761861894458455,0.7626787646342129,0.761861894458455,5,0.0024990240236256,14.3094115592806
19026,95782,9850.095,0.447,0.928,0.925,0.928,0.925,0.856,0.851,0.856,0.851,3,0.001,10.069
