Hero Name 1,Hero Name 2,Similarity (%),Sources for Hero 1,Sources for Hero 2
NOVA II/FRANKIE RAYE,NOVA III/FRANKIE RAY,90.0,"edges_df, nodes_df","edges_df, nodes_df"
ELECTRON,ELECTRYON,88.9,"edges_df, nodes_df","edges_df, nodes_df"
GOLEM II,GOLEM III,88.9,"edges_df, nodes_df","edges_df, nodes_df"
STRANGER,STRANGLER,88.9,"edges_df, nodes_df","edges_df, nodes_df"
CENTARIUS,CENTURIUS,88.9,"edges_df, nodes_df","edges_df, nodes_df"
MALICE II,MALICE IV,88.9,"edges_df, nodes_df","edges_df, nodes_df"
RANGER I/,RANGER II,88.9,"edges_df, nodes_df","edges_df, nodes_df"
RANGER II,RINGER II,88.9,"edges_df, nodes_df","edges_df, nodes_df"
SPIDER-MAN/PETER PARKER,SPIDER-MAN/PETER PARKERKER,88.5,edges_df,nodes_df
MADAME MASQUE IV,MADAME MASQUE II/,88.2,"edges_df, nodes_df","edges_df, nodes_df"
MADAME MASQUE IV,MADAME MASQUE III,88.2,"edges_df, nodes_df","edges_df, nodes_df"
MADAME MASQUE VI,MADAME MASQUE II/,88.2,"edges_df, nodes_df","edges_df, nodes_df"
MADAME MASQUE VI,MADAME MASQUE III,88.2,"edges_df, nodes_df","edges_df, nodes_df"
HULK DOPPELGANGER,PUCK DOPPELGANGER,88.2,"edges_df, nodes_df","edges_df, nodes_df"
"SHORR, JACQUELINE","STARR, JACQUELINE",88.2,"edges_df, nodes_df","edges_df, nodes_df"
FANG II,FANG III,87.5,"edges_df, nodes_df","edges_df, nodes_df"
LOBO II,LOBO III,87.5,"edges_df, nodes_df","edges_df, nodes_df"
PILGRIM,PILGRIMM,87.5,"edges_df, nodes_df","edges_df, nodes_df"
SETH II,SETH III,87.5,"edges_df, nodes_df","edges_df, nodes_df"
STRANGE,STRANGER,87.5,"edges_df, nodes_df","edges_df, nodes_df"
FANTASIA,FANTASMA,87.5,"edges_df, nodes_df","edges_df, nodes_df"
MEPHISTA,MEPHISTO,87.5,"edges_df, nodes_df","edges_df, nodes_df"
SILENCE/,SILENCER,87.5,"edges_df, nodes_df","edges_df, nodes_df"
IMPOSSIBLE MAN,IMPOSSIBLE WOMAN,87.5,"edges_df, nodes_df","edges_df, nodes_df"
MADAME MASQUE IV,MADAME MASQUE VI,87.5,"edges_df, nodes_df","edges_df, nodes_df"
ANELLE,ANIELLE,85.7,"edges_df, nodes_df","edges_df, nodes_df"
GOG II,GOG III,85.7,"edges_df, nodes_df","edges_df, nodes_df"
MARITA,MARISTA,85.7,"edges_df, nodes_df","edges_df, nodes_df"
