Hero Name 1,Hero Name 2,Similarity (%),Sources for Hero 1,Sources for Hero 2
BRUTE | MUTANT X-VER,FORGE | MUTANT X-VER,80.0,"edges_df, nodes_df","edges_df, nodes_df"
BRUTE | MUTANT X-VER,RAVEN | MUTANT X-VER,80.0,"edges_df, nodes_df","edges_df, nodes_df"
BRUTE | MUTANT X-VER,ROGUE | MUTANT X-VER,80.0,"edges_df, nodes_df","edges_df, nodes_df"
CAPTAIN AMERICA DOPP,CAPTAIN AMERICA IV/S,80.0,"edges_df, nodes_df","edges_df, nodes_df"
CAPTAIN AMERICA DOPP,CAPTAIN AMERICA | MU,80.0,"edges_df, nodes_df","edges_df, nodes_df"
CAPTAIN AMERICA DOPP,CAPTAIN AMERICA V/RO,80.0,"edges_df, nodes_df","edges_df, nodes_df"
CAPTAIN AMERICA IV/S,CAPTAIN AMERICA | MU,80.0,"edges_df, nodes_df","edges_df, nodes_df"
CAPTAIN AMERICA | MU,CAPTAIN AMERICA V/RO,80.0,"edges_df, nodes_df","edges_df, nodes_df"
CRIMSON DYNAMO II/BO,CRIMSON DYNAMO VIII/,80.0,"edges_df, nodes_df","edges_df, nodes_df"
CRIMSON DYNAMO III/A,CRIMSON DYNAMO IV/YU,80.0,"edges_df, nodes_df","edges_df, nodes_df"
CRIMSON DYNAMO IV/YU,CRIMSON DYNAMO V/DIM,80.0,"edges_df, nodes_df","edges_df, nodes_df"
CRIMSON DYNAMO IV/YU,CRIMSON DYNAMO VI/VA,80.0,"edges_df, nodes_df","edges_df, nodes_df"
CRIMSON DYNAMO V/DIM,CRIMSON DYNAMO VI/VA,80.0,"edges_df, nodes_df","edges_df, nodes_df"
DRAX | MUTANT X-VERS,HULK | MUTANT X-VERS,80.0,"edges_df, nodes_df","edges_df, nodes_df"
DRAX | MUTANT X-VERS,NOVA | MUTANT X-VERS,80.0,"edges_df, nodes_df","edges_df, nodes_df"
DRAX | MUTANT X-VERS,PUCK | MUTANT X-VERS,80.0,"edges_df, nodes_df","edges_df, nodes_df"
DRAX | MUTANT X-VERS,THOR | MUTANT X-VERS,80.0,"edges_df, nodes_df","edges_df, nodes_df"
DRAX | MUTANT X-VERS,UATU | MUTANT X-VERS,80.0,"edges_df, nodes_df","edges_df, nodes_df"
FALLEN | MUTANT X-VE,FAMINE | MUTANT X-VE,80.0,"edges_df, nodes_df","edges_df, nodes_df"
FALLEN | MUTANT X-VE,RAVEN | MUTANT X-VER,80.0,"edges_df, nodes_df","edges_df, nodes_df"
FALLEN | MUTANT X-VE,SELENE | MUTANT X-VE,80.0,"edges_df, nodes_df","edges_df, nodes_df"
FAMINE | MUTANT X-VE,GAMBIT | MUTANT X-VE,80.0,"edges_df, nodes_df","edges_df, nodes_df"
FAMINE | MUTANT X-VE,SELENE | MUTANT X-VE,80.0,"edges_df, nodes_df","edges_df, nodes_df"
FAMINE | MUTANT X-VE,SHAMAN | MUTANT X-VE,80.0,"edges_df, nodes_df","edges_df, nodes_df"
FORGE | MUTANT X-VER,GORGON | MUTANT X-VE,80.0,"edges_df, nodes_df","edges_df, nodes_df"
FORGE | MUTANT X-VER,HOGUN | MUTANT X-VER,80.0,"edges_df, nodes_df","edges_df, nodes_df"
FORGE | MUTANT X-VER,SERSI | MUTANT X-VER,80.0,"edges_df, nodes_df","edges_df, nodes_df"
GORGON | MUTANT X-VE,HOGUN | MUTANT X-VER,80.0,"edges_df, nodes_df","edges_df, nodes_df"
GORGON | MUTANT X-VE,TRITON | MUTANT X-VE,80.0,"edges_df, nodes_df","edges_df, nodes_df"
GUARDIAN/JAMES MACDO,GUARDIAN V/JAMES MAC,80.0,"edges_df, nodes_df","edges_df, nodes_df"
HAVOK | MUTANT X-VER,HOGUN | MUTANT X-VER,80.0,"edges_df, nodes_df","edges_df, nodes_df"
HAVOK | MUTANT X-VER,HULK | MUTANT X-VERS,80.0,"edges_df, nodes_df","edges_df, nodes_df"
"HOGAN, VIRGINIA PEPP","POTTS, VIRGINIA PEPP",80.0,"edges_df, nodes_df","edges_df, nodes_df"
HOGUN | MUTANT X-VER,RAVEN | MUTANT X-VER,80.0,"edges_df, nodes_df","edges_df, nodes_df"
HOGUN | MUTANT X-VER,X-MAN | MUTANT X-VER,80.0,"edges_df, nodes_df","edges_df, nodes_df"
HULK DOPPELGANGER II,NOVA DOPPELGANGER II,80.0,"edges_df, nodes_df","edges_df, nodes_df"
HULK | MUTANT X-VERS,NOVA | MUTANT X-VERS,80.0,"edges_df, nodes_df","edges_df, nodes_df"
HULK | MUTANT X-VERS,THOR | MUTANT X-VERS,80.0,"edges_df, nodes_df","edges_df, nodes_df"
HULK | MUTANT X-VERS,UATU | MUTANT X-VERS,80.0,"edges_df, nodes_df","edges_df, nodes_df"
IKARIS | MUTANT X-VE,KARNAK | MUTANT X-VE,80.0,"edges_df, nodes_df","edges_df, nodes_df"
IKARIS | MUTANT X-VE,POLARIS | MUTANT X-V,80.0,"edges_df, nodes_df","edges_df, nodes_df"
NOVA DOPPELGANGER II,PUCK DOPPELGANGER II,80.0,"edges_df, nodes_df","edges_df, nodes_df"
NOVA II | MUTANT X-V,POLARIS | MUTANT X-V,80.0,"edges_df, nodes_df","edges_df, nodes_df"
NOVA | MUTANT X-VERS,PUCK | MUTANT X-VERS,80.0,"edges_df, nodes_df","edges_df, nodes_df"
NOVA | MUTANT X-VERS,THOR | MUTANT X-VERS,80.0,"edges_df, nodes_df","edges_df, nodes_df"
NOVA | MUTANT X-VERS,UATU | MUTANT X-VERS,80.0,"edges_df, nodes_df","edges_df, nodes_df"
PUCK | MUTANT X-VERS,THOR | MUTANT X-VERS,80.0,"edges_df, nodes_df","edges_df, nodes_df"
PUCK | MUTANT X-VERS,UATU | MUTANT X-VERS,80.0,"edges_df, nodes_df","edges_df, nodes_df"
RAVEN | MUTANT X-VER,ROGUE | MUTANT X-VER,80.0,"edges_df, nodes_df","edges_df, nodes_df"
RAVEN | MUTANT X-VER,X-MAN | MUTANT X-VER,80.0,"edges_df, nodes_df","edges_df, nodes_df"
SHAMAN | MUTANT X-VE,X-MAN | MUTANT X-VER,80.0,"edges_df, nodes_df","edges_df, nodes_df"
THOR | MUTANT X-VERS,UATU | MUTANT X-VERS,80.0,"edges_df, nodes_df","edges_df, nodes_df"
WOLFSBANE DOPPELGANG,WOLVERINE DOPPELGANG,80.0,"edges_df, nodes_df","edges_df, nodes_df"
